Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
1,09/17/2020 08:25:11 AM,EST,CREATE,,,,,,,,,,,,,,,
2,09/17/2020 08:25:11 AM,EST,CLIENT_CONFIGURE,,,,,,,,,,,,,,,
3,09/21/2020 12:31:34 PM,EST,TRANSFER_FUNDS,,,,,,,,,,,,,,100000.00,100000.00
4,09/21/2020 12:37:58 PM,EST,MARKET_ORDER,CLIENT_ORDER,DE30/EUR,,2,Buy,,12571.00000,12620.50000,,,,,,,
5,09/21/2020 12:37:58 PM,EST,ORDER_FILL,MARKET_ORDER,DE30/EUR,12594.20000,2,Buy,1.9984,,,,0.00000,0.0000,,0.00000,,100000.00
6,09/21/2020 12:37:58 PM,EST,TAKE_PROFIT_ORDER,ON_FILL,,12620.50000,,,,,,,,,,,,
7,09/21/2020 12:37:58 PM,EST,STOP_LOSS_ORDER,ON_FILL,,12571.00000,,,,,,,,,,,,
8,09/21/2020 12:37:58 PM,EST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
9,09/21/2020 01:05:31 PM,EST,ORDER_FILL,STOP_LOSS_ORDER,DE30/EUR,12571.00000,2,Sell,2.3506,,,,0.00000,0.0000,1.1811,-54.80570,,99945.19
10,09/21/2020 01:05:31 PM,EST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
11,09/22/2020 01:58:32 PM,EST,MARKET_ORDER,CLIENT_ORDER,XAU/USD,,20,Buy,,1870.00000,1950.05800,,,,,,,
12,09/22/2020 01:58:32 PM,EST,ORDER_FILL,MARKET_ORDER,XAU/USD,1905.90700,20,Buy,2.5000,,,,0.00000,0.0000,,0.00000,,99945.19
13,09/22/2020 01:58:32 PM,EST,TAKE_PROFIT_ORDER,ON_FILL,,1950.05800,,,,,,,,,,,,
14,09/22/2020 01:58:32 PM,EST,STOP_LOSS_ORDER,ON_FILL,,1870.00000,,,,,,,,,,,,
15,09/22/2020 01:58:32 PM,EST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
16,09/22/2020 04:00:00 PM,EST,DAILY_FINANCING,,,,,,,,,,-1.62180,,,,,99943.57
,09/22/2020 04:00:00 PM,EST,DAILY_FINANCING,TradeID: 12,XAU/USD,,,,,,,,-1.62180,,,,,
17,09/23/2020 07:27:06 AM,EST,MARKET_ORDER,CLIENT_ORDER,AUD/CAD,,25000,Buy,,0.94850,0.95150,,,,,,,
18,09/23/2020 07:27:06 AM,EST,ORDER_FILL,MARKET_ORDER,AUD/CAD,0.94908,25000,Buy,1.5924,,,,0.00000,0.0000,,0.00000,,99943.57
19,09/23/2020 07:27:06 AM,EST,TAKE_PROFIT_ORDER,ON_FILL,,0.95150,,,,,,,,,,,,
20,09/23/2020 07:27:06 AM,EST,STOP_LOSS_ORDER,ON_FILL,,0.94850,,,,,,,,,,,,
21,09/23/2020 07:27:06 AM,EST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
22,09/23/2020 07:30:34 AM,EST,ORDER_FILL,STOP_LOSS_ORDER,AUD/CAD,0.94850,25000,Sell,1.7801,,,,0.00000,0.0000,0.7532,-10.92230,,99932.65
23,09/23/2020 07:30:34 AM,EST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
24,09/23/2020 09:15:46 AM,EST,ORDER_FILL,STOP_LOSS_ORDER,XAU/USD,1869.95800,20,Sell,5.3700,,,,0.00000,0.0000,1.0000,-718.98000,,99213.67
25,09/23/2020 09:15:46 AM,EST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
26,09/23/2020 11:15:11 AM,EST,MARKET_ORDER,CLIENT_ORDER,XAU/USD,,15,Buy,,1850.00000,1885.00000,,,,,,,
27,09/23/2020 11:15:11 AM,EST,ORDER_FILL,MARKET_ORDER,XAU/USD,1865.06400,15,Buy,1.8750,,,,0.00000,0.0000,,0.00000,,99213.67
28,09/23/2020 11:15:11 AM,EST,TAKE_PROFIT_ORDER,ON_FILL,,1885.00000,,,,,,,,,,,,
29,09/23/2020 11:15:11 AM,EST,STOP_LOSS_ORDER,ON_FILL,,1850.00000,,,,,,,,,,,,
30,09/23/2020 11:15:11 AM,EST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
31,09/23/2020 04:00:00 PM,EST,DAILY_FINANCING,,,,,,,,,,-3.32480,,,,,99210.34
,09/23/2020 04:00:00 PM,EST,DAILY_FINANCING,TradeID: 27,XAU/USD,,,,,,,,-3.32480,,,,,
32,09/23/2020 11:56:47 PM,EST,ORDER_FILL,STOP_LOSS_ORDER,XAU/USD,1849.97800,15,Sell,17.8650,,,,0.00000,0.0000,1.0000,-226.29000,,98984.05
33,09/23/2020 11:56:47 PM,EST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
34,09/24/2020 08:18:37 AM,EST,LIMIT_ORDER,CLIENT_ORDER,USD/MXN,22.70000,20000,Sell,,23.00000,21.50000,,,,,,,
35,09/24/2020 08:18:37 AM,EST,ORDER_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
36,09/24/2020 08:21:49 AM,EST,LIMIT_ORDER,CLIENT_ORDER,SPX500/USD,3170.00000,15,Buy,,3120.00000,3350.00000,,,,,,,
37,09/24/2020 08:21:49 AM,EST,ORDER_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
38,09/24/2020 08:57:18 AM,EST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
39,09/24/2020 08:57:18 AM,EST,LIMIT_ORDER,REPLACEMENT,SPX500/USD,3190.00000,15,Buy,,3140.00000,3350.00000,,,,,,,
40,09/25/2020 11:46:36 AM,EST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,100000,Buy,,1.15920,1.16470,,,,,,,
41,09/25/2020 11:46:36 AM,EST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.16244,100000,Buy,3.0000,,,,0.00000,0.0000,,0.00000,,98984.05
42,09/25/2020 11:46:36 AM,EST,TAKE_PROFIT_ORDER,ON_FILL,,1.16470,,,,,,,,,,,,
43,09/25/2020 11:46:36 AM,EST,STOP_LOSS_ORDER,ON_FILL,,1.15920,,,,,,,,,,,,
44,09/25/2020 11:46:36 AM,EST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
45,09/25/2020 01:36:04 PM,EST,LIMIT_ORDER,CLIENT_ORDER,HK33/HKD,23120.00000,10,Buy,,23050.00000,23400.00000,,,,,,,
46,09/25/2020 01:36:04 PM,EST,ORDER_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
47,09/25/2020 01:36:14 PM,EST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
48,09/25/2020 01:36:14 PM,EST,LIMIT_ORDER,REPLACEMENT,SPX500/USD,3190.00000,15,Buy,,3140.00000,3350.00000,,,,,,,
49,09/25/2020 01:36:22 PM,EST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
50,09/25/2020 01:36:22 PM,EST,LIMIT_ORDER,REPLACEMENT,USD/MXN,22.70000,20000,Sell,,23.00000,21.50000,,,,,,,
51,09/25/2020 01:36:38 PM,EST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
52,09/25/2020 01:36:38 PM,EST,LIMIT_ORDER,REPLACEMENT,HK33/HKD,23120.00000,10,Buy,,23050.00000,23400.00000,,,,,,,
