Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226629935,2020.09.21 20:37:58,buy,0.02,de30eur-e,12594.2,12571,12620.5,2020.09.21 21:05:31,12571,0,0,0,-54.81
226672345,2020.09.22 21:58:32,buy,0.2,xauusd-e,1905.907,1870,1950.058,2020.09.23 17:15:46,1869.958,0,0,0,-718.98
226707531,2020.09.23 15:27:06,buy,0.25,audcad-e,0.94908,0.9485,0.9515,2020.09.23 15:30:34,0.9485,0,0,0,-10.92
226712369,2020.09.23 19:15:11,buy,0.15,xauusd-e,1865.064,1850,1885,2020.09.24 07:56:47,1849.978,0,0,0,-226.29
226798519,2020.09.25 19:46:36,buy,1,eurusd-e,1.16244,1.163,1.18,2020.09.25 22:33:28,1.16299,0,0,0,55
226800003,2020.09.25 21:40:37,buy,0.1,hk33hkd-e,23124.6,23300,24000,2020.09.28 06:06:45,23299.6,0,0,0,224.68
226800801,2020.09.25 22:55:20,buy,0.9,audjpy-e,74.285,74.29,78,2020.09.28 05:59:50,74.29,0,0,0,4.25
226827062,2020.09.28 00:56:16,buy,1,audusd-e,0.70349,0.7045,0.725,2020.09.28 09:09:33,0.70448,0,0,0,99
226838301,2020.09.28 15:48:30,sell,0.75,eurtry-e,9.13132,9.095,8.75,2020.09.28 16:35:45,9.09537,0,0,0,344.85
226839565,2020.09.28 16:49:47,buy,3,wheatusd-e,5.325,5.36,5.5,2020.09.28 17:56:37,5.36,0,0,0,525
226881849,2020.09.29 19:24:56,sell,0.5,eurtry-e,9.1803,9.105,8.7,2020.09.30 17:13:41,9.105,0,0,0,482.32
226919821,2020.09.30 16:30:20,buy,0.5,chfzar-e,18.23664,18,18.4,2020.10.01 09:45:00,17.9993,0,0,0,-720.5
226966570,2020.10.01 19:45:26,sell,20,cornusd-e,3.754,3.732,3.4,2020.10.02 06:19:03,3.732,0,0,0,2 200.00
