CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_0,LOC_0,POB_1,LOC_1,POB_2,LOC_2,POB_3,LOC_3,POB_4,LOC_4,POB_TOTAL,LOC_TOTAL
01,Aguascalientes,01001,Aguascalientes,740680,6,26381,279,988,29,28103,233,858,42,797010,589
01,Aguascalientes,01002,Asientos,12753,3,4813,27,4351,27,23557,109,18,2,45492,168
01,Aguascalientes,01003,Calvillo,26656,2,10261,52,636,7,15943,60,640,34,54136,155
01,Aguascalientes,01004,Cosío,4898,1,0,0,1127,15,9016,37,1,1,15042,54
01,Aguascalientes,01005,Jesús María,68075,6,18250,142,2779,16,10363,61,123,10,99590,235
01,Aguascalientes,01006,Pabellón de Arteaga,31628,2,7277,154,212,5,2745,25,0,0,41862,186
01,Aguascalientes,01007,Rincón de Romos,35094,3,5896,160,98,11,8011,54,57,2,49156,230
01,Aguascalientes,01008,San José de Gracia,4927,1,0,0,21,4,3232,20,263,7,8443,32
01,Aguascalientes,01009,Tepezalá,7856,2,1793,32,2005,19,8014,38,0,0,19668,91
01,Aguascalientes,01010,El Llano,5399,1,0,0,765,11,12654,142,10,3,18828,157
01,Aguascalientes,01011,San Francisco de los Romo,19623,2,9345,64,1003,6,5798,20,0,0,35769,92
02,Baja California,02001,Ensenada,398122,19,13721,339,11331,159,35914,591,7726,601,466814,1709
02,Baja California,02002,Mexicali,838116,19,20526,409,11256,208,66062,927,866,87,936826,1650
02,Baja California,02003,Tecate,80077,4,7066,66,388,26,11854,186,1694,163,101079,445
02,Baja California,02004,Tijuana,1519454,16,33998,284,82,5,4714,130,1435,101,1559683,536
02,Baja California,02005,Playas de Rosarito,76105,3,6289,47,124,10,6951,74,1199,73,90668,207
03,Baja California Sur,03001,Comondú,55214,3,788,55,69,17,12031,186,2714,390,70816,651
03,Baja California Sur,03002,Mulegé,38213,5,0,0,2942,39,12909,111,5050,304,59114,459
03,Baja California Sur,03003,La Paz,225022,3,5019,79,167,28,15560,359,6103,575,251871,1044
03,Baja California Sur,03008,Los Cabos,215545,6,9433,124,0,0,11601,152,1908,267,238487,549
03,Baja California Sur,03009,Loreto,14724,1,0,0,35,4,551,41,1428,101,16738,147
04,Campeche,04001,Calkiní,41517,5,0,0,2063,29,9273,16,37,3,52890,53
04,Campeche,04002,Campeche,233864,3,1561,33,40,11,23430,143,110,15,259005,205
04,Campeche,04003,Carmen,194548,6,144,22,295,39,24398,563,1709,245,221094,875
